ate_bias,ate_rmse,ite_correlation,ite_regression_slope,true_ate,estimated_ate,target_ate,oracle_mode,train_fraction,n_train,n_eval,scenario_idx,repeat_idx,generation_mode
1.6151516437530518,2.099141891006747,-0.5170543567275424,-0.26759347608923917,0.5,2.1151516,0.5,False,0.8,800,200,0,0,phi_linear
1.2974892854690552,1.6431096508393224,0.7764977706810954,1.2201088858161884,0.5,1.7974893,0.5,False,0.8,800,200,0,1,phi_linear
1.6776344776153564,2.3633139295475214,-0.2033385564700096,-0.23354706580080978,0.5,2.1776345,0.5,False,0.8,800,200,0,2,phi_linear
0.39804959297180176,1.0346036111160855,0.4978038750536045,0.449032170089943,0.5,0.8980496,0.5,False,0.8,800,200,0,3,phi_linear
-0.14631924033164972,1.184232798618902,0.237741788605781,0.2148502647881492,0.49999999999999994,0.35368076,0.5,False,0.8,800,200,0,4,phi_linear
0.09030652046203635,1.0712207906861726,0.5321749237803828,0.6323136080963297,0.4999999999999998,0.5903065,0.5,False,0.8,800,200,0,5,phi_linear
0.6656808853149414,1.3686779765815975,0.43268421577859956,0.529835657997338,0.5,1.1656809,0.5,False,0.8,800,200,0,6,phi_linear
1.8129305839538574,2.430306117243721,-0.46987944274349286,-0.4187617735385275,0.5,2.3129306,0.5,False,0.8,800,200,0,7,phi_linear
0.061982035636901855,1.369925799909569,0.5122938611584563,0.8123582258109077,0.5,0.56198204,0.5,False,0.8,800,200,0,8,phi_linear
-0.051820069551467896,1.0611296261569507,0.1417689679100565,0.07415629057677485,0.5,0.44817993,0.5,False,0.8,800,200,0,9,phi_linear
0.004353165626525879,1.486004932995033,0.4895290640411976,0.8328327530380347,0.5,0.50435317,0.5,False,0.8,800,200,0,10,phi_linear
0.14751678705215454,1.1216276052608931,0.4472405438699677,0.49793345596645816,0.5,0.6475168,0.5,False,0.8,800,200,0,11,phi_linear
0.7482568025588989,1.3728552388109767,0.4403585614081816,0.513651804565396,0.5,1.2482568,0.5,False,0.8,800,200,0,12,phi_linear
0.5575116872787476,1.207037527892607,0.4230326806858114,0.4222622452180533,0.5,1.0575117,0.5,False,0.8,800,200,0,13,phi_linear
0.574576735496521,1.170093871698522,0.2678764090444673,0.1617088242505057,0.5,1.0745767,0.5,False,0.8,800,200,0,14,phi_linear
0.9567158222198486,1.8311688701275002,0.41807625948834715,0.709251681721632,0.5,1.4567158,0.5,False,0.8,800,200,0,15,phi_linear
1.0106829404830933,1.6106558189578488,-0.1289699412124124,-0.08279110624897548,0.5000000000000001,1.510683,0.5,False,0.8,800,200,0,16,phi_linear
3.6160855293273926,4.326551087331667,-0.5144703709719682,-0.87943464121101,0.5,4.1160855,0.5,False,0.8,800,200,0,17,phi_linear
-0.034012824296951294,0.8707721843573775,0.49669843138758446,0.21719020538128422,0.5,0.46598718,0.5,False,0.8,800,200,0,18,phi_linear
0.6575338840484619,1.3915049422615866,0.5470050763039597,0.7933999547693982,0.5,1.1575339,0.5,False,0.8,800,200,0,19,phi_linear
2.501664400100708,2.9662178673544717,-0.34266543416768686,-0.3253740385294746,0.5,3.0016644,0.5,False,0.8,800,200,0,20,phi_linear
2.05922794342041,2.6598399002764825,-0.5958830484529257,-0.5292765061472153,0.5,2.559228,0.5,False,0.8,800,200,0,21,phi_linear
1.1139397621154785,1.4645474067533109,0.4876672108773763,0.4236116165514924,0.5,1.6139398,0.5,False,0.8,800,200,0,22,phi_linear
0.8875381946563721,1.3067954841674552,0.718803133716684,0.996652774769694,0.49999999999999994,1.3875382,0.5,False,0.8,800,200,0,23,phi_linear
0.18154144287109375,1.0647773041792667,0.5290226376824795,0.6093053086078135,0.5,0.68154144,0.5,False,0.8,800,200,0,24,phi_linear
1.121152400970459,1.6059476911324846,0.4451823782027725,0.5219065851140363,0.5,1.6211524,0.5,False,0.8,800,200,0,25,phi_linear
1.7250282764434814,2.1906714252001143,-0.04194439635592106,-0.03652295211766311,0.5,2.2250283,0.5,False,0.8,800,200,0,26,phi_linear
1.0723028182983398,1.6954091224440435,0.06435800331306976,0.05937813904068624,0.49999999999999994,1.5723028,0.5,False,0.8,800,200,0,27,phi_linear
0.36225152015686035,1.554995106402382,0.15099120556403195,0.1965709558884368,0.5,0.8622515,0.5,False,0.8,800,200,0,28,phi_linear
1.1112576723098755,1.6531931188976714,0.26259491902792403,0.26804796239643547,0.5,1.6112577,0.5,False,0.8,800,200,0,29,phi_linear
1.1334292888641357,2.220811102900003,-0.2982992565222819,-0.4064917001561581,0.5,1.6334293,0.5,False,0.8,800,200,0,30,phi_linear
0.4124521017074585,0.9848198483403463,0.4489893509370258,0.21915233104186294,0.5,0.9124521,0.5,False,0.8,800,200,0,31,phi_linear
0.9435015916824341,1.6208858280366374,0.23902561754137272,0.2715065455032685,0.5,1.4435016,0.5,False,0.8,800,200,0,32,phi_linear
1.457672119140625,1.90041950221108,-0.04011820242703269,-0.026560059896399826,0.49999999999999994,1.9576721,0.5,False,0.8,800,200,0,33,phi_linear
1.2145378589630127,1.621103066613829,0.6022735200497926,0.7991963476927232,0.49999999999999994,1.7145379,0.5,False,0.8,800,200,0,34,phi_linear
0.8320455551147461,1.3113128818832132,0.3298379879868166,0.23160489680870802,0.5,1.3320456,0.5,False,0.8,800,200,0,35,phi_linear
-0.01527184247970581,1.8886665140906234,0.46520913112855505,0.9975186761232394,0.5,0.48472816,0.5,False,0.8,800,200,0,36,phi_linear
1.5365726947784424,1.9995583343684789,0.288971811048859,0.33047398253483534,0.5,2.0365727,0.5,False,0.8,800,200,0,37,phi_linear
1.4498733282089233,1.8329113400437933,0.3116544950290927,0.2841235515462064,0.5000000000000001,1.9498733,0.5,False,0.8,800,200,0,38,phi_linear
0.7079139947891235,1.6026801018304355,0.4939592077016799,0.8137365187366915,0.5,1.207914,0.5,False,0.8,800,200,0,39,phi_linear
2.4180634021759033,2.9051644500747638,0.18337871551635657,0.26884834692618526,0.5,2.9180634,0.5,False,0.8,800,200,0,40,phi_linear
1.1139397621154785,1.4645474067533109,0.4876672108773763,0.4236116165514924,0.5,1.6139398,0.5,False,0.8,800,200,0,41,phi_linear
0.4751034379005431,1.1861081294764402,0.37158162655806126,0.34975779077194646,0.5000000000000001,0.97510344,0.5,False,0.8,800,200,0,42,phi_linear
1.5054309368133545,1.709526437774861,0.611920215897132,0.483916150223987,0.5,2.005431,0.5,False,0.8,800,200,0,43,phi_linear
2.4757254123687744,3.069657312224112,-0.15072662689680094,-0.2077168073011934,0.5,2.9757254,0.5,False,0.8,800,200,0,44,phi_linear
1.7673742771148682,2.2846141808152383,0.5028277123156806,0.8409891505096454,0.5,2.2673743,0.5,False,0.8,800,200,0,45,phi_linear
2.107870578765869,2.5441358645182857,-0.4776510647196807,-0.30905865548982797,0.5,2.6078706,0.5,False,0.8,800,200,0,46,phi_linear
0.23699277639389044,1.2011457861326,0.5856842481253499,0.8475394561202444,0.49999999999999994,0.7369928,0.5,False,0.8,800,200,0,47,phi_linear
0.15470677614212036,1.0057463846246417,0.741858381987653,1.0999679853560482,0.5,0.6547068,0.5,False,0.8,800,200,0,48,phi_linear
1.99635648727417,2.560782535601472,0.5906609238937296,1.1734146107161258,0.5,2.4963565,0.5,False,0.8,800,200,0,49,phi_linear
